split,n,method,paper_or_family,bib,implementation,precision,recall,f1,site_macro_f1,type_macro_f1,validity,unsupported/pred
SWDE-1600,1600,reusable_dom_xpath_template,AutoScraper / XPath Agent / AXE family,huang2024autoscraper;li2025xpathagent;mansour2026axe,single collapsed DOM/XPath-template induction baseline using the repository's reusable DOM wrapper output; reported once because these families are not official JSON-LD implementations here,0.475,0.384,0.425,0.413,0.414,1.000,0/6978
SWDE-1600,1600,direct_deepseek_jsonld,Direct DeepSeek-V4-Flash,,same model receives DOM evidence plus schema properties and directly emits JSON-LD,0.364,0.487,0.417,0.440,0.444,0.998,333/11526
SWDE-1600,1600,direct_deepseek_verifier,Direct DeepSeek + verifier,,direct DeepSeek output followed by the same schema/evidence verifier,0.532,0.444,0.484,0.509,0.514,1.000,0/7193
SWDE-1600,1600,schema_prompt_deepseek,ExtractGPT / LLM4Schema-style prompt,brinkmann2024wdcpave;dang2025llm4schema,DeepSeek field-oriented schema prompt with target slots and DOM evidence; no planner or repair,0.555,0.438,0.490,0.506,0.507,1.000,11/6809
SWDE-1600,1600,llm_ensemble_value_vote,LLM-Ensemble / AutoData-style selection,fang2024llmensemble;ma2025autodata,"selects among direct, schema-prompt, and DOM/XPath-template outputs by schema/evidence reward, then verifies",0.455,0.421,0.437,0.448,0.451,1.000,0/7979
SWDE-1600,1600,schemaplan_rag_deepseek,SchemaPlan-RAG (ours),,"full Step 1--7 pipeline with DeepSeek-V4-Flash for Steps 2, 4, and 6",0.941,0.932,0.936,0.930,0.933,1.000,0/8531
Legacy non-SWDE-434,434,reusable_dom_xpath_template,AutoScraper / XPath Agent / AXE family,huang2024autoscraper;li2025xpathagent;mansour2026axe,single collapsed DOM/XPath-template induction baseline using the repository's reusable DOM wrapper output; reported once because these families are not official JSON-LD implementations here,0.974,0.847,0.906,0.719,0.371,1.000,0/4545
Legacy non-SWDE-434,434,direct_deepseek_jsonld,Direct DeepSeek-V4-Flash,,same model receives DOM evidence plus schema properties and directly emits JSON-LD,0.749,0.679,0.712,0.637,0.491,1.000,87/4737
Legacy non-SWDE-434,434,direct_deepseek_verifier,Direct DeepSeek + verifier,,direct DeepSeek output followed by the same schema/evidence verifier,0.643,0.279,0.389,0.377,0.393,1.000,0/2266
Legacy non-SWDE-434,434,schema_prompt_deepseek,ExtractGPT / LLM4Schema-style prompt,brinkmann2024wdcpave;dang2025llm4schema,DeepSeek field-oriented schema prompt with target slots and DOM evidence; no planner or repair,0.938,0.544,0.688,0.566,0.342,1.000,5/3031
Legacy non-SWDE-434,434,llm_ensemble_value_vote,LLM-Ensemble / AutoData-style selection,fang2024llmensemble;ma2025autodata,"selects among direct, schema-prompt, and DOM/XPath-template outputs by schema/evidence reward, then verifies",0.648,0.287,0.398,0.375,0.373,1.000,0/2314
Legacy non-SWDE-434,434,schemaplan_rag_deepseek,SchemaPlan-RAG (ours),,"full Step 1--7 pipeline with DeepSeek-V4-Flash for Steps 2, 4, and 6",0.972,0.895,0.932,0.720,0.337,1.000,0/4814
WDC-PAVE-1418,1418,reusable_dom_xpath_template,AutoScraper / XPath Agent / AXE family,huang2024autoscraper;li2025xpathagent;mansour2026axe,single collapsed DOM/XPath-template induction baseline using the repository's reusable DOM wrapper output; reported once because these families are not official JSON-LD implementations here,0.991,0.579,0.731,0.787,0.731,1.000,0/4395
WDC-PAVE-1418,1418,direct_deepseek_jsonld,Direct DeepSeek-V4-Flash,,same model receives DOM evidence plus schema properties and directly emits JSON-LD,0.706,0.674,0.690,0.715,0.690,1.000,169/7324
WDC-PAVE-1418,1418,direct_deepseek_verifier,Direct DeepSeek + verifier,,direct DeepSeek output followed by the same schema/evidence verifier,0.775,0.628,0.694,0.705,0.694,1.000,0/6100
WDC-PAVE-1418,1418,schema_prompt_deepseek,ExtractGPT / LLM4Schema-style prompt,brinkmann2024wdcpave;dang2025llm4schema,DeepSeek field-oriented schema prompt with target slots and DOM evidence; no planner or repair,0.734,0.711,0.723,0.731,0.723,1.000,232/7374
WDC-PAVE-1418,1418,llm_ensemble_value_vote,LLM-Ensemble / AutoData-style selection,fang2024llmensemble;ma2025autodata,"selects among direct, schema-prompt, and DOM/XPath-template outputs by schema/evidence reward, then verifies",0.776,0.722,0.748,0.783,0.748,1.000,0/7011
WDC-PAVE-1418,1418,schemaplan_rag_deepseek,SchemaPlan-RAG (ours),,"full Step 1--7 pipeline with DeepSeek-V4-Flash for Steps 2, 4, and 6",0.945,0.935,0.940,0.922,0.940,1.000,16/7439
WebSchema-JSONLD Bench-3452,3452,reusable_dom_xpath_template,AutoScraper / XPath Agent / AXE family,huang2024autoscraper;li2025xpathagent;mansour2026axe,single collapsed DOM/XPath-template induction baseline using the repository's reusable DOM wrapper output; reported once because these families are not official JSON-LD implementations here,0.760,0.566,0.649,0.596,0.391,1.000,0/15918
WebSchema-JSONLD Bench-3452,3452,direct_deepseek_jsonld,Direct DeepSeek-V4-Flash,,same model receives DOM evidence plus schema properties and directly emits JSON-LD,0.548,0.600,0.573,0.574,0.500,0.999,589/23587
WebSchema-JSONLD Bench-3452,3452,direct_deepseek_verifier,Direct DeepSeek + verifier,,direct DeepSeek output followed by the same schema/evidence verifier,0.644,0.468,0.542,0.599,0.490,1.000,0/15559
WebSchema-JSONLD Bench-3452,3452,schema_prompt_deepseek,ExtractGPT / LLM4Schema-style prompt,brinkmann2024wdcpave;dang2025llm4schema,DeepSeek field-oriented schema prompt with target slots and DOM evidence; no planner or repair,0.699,0.561,0.622,0.614,0.449,1.000,248/17214
WebSchema-JSONLD Bench-3452,3452,llm_ensemble_value_vote,LLM-Ensemble / AutoData-style selection,fang2024llmensemble;ma2025autodata,"selects among direct, schema-prompt, and DOM/XPath-template outputs by schema/evidence reward, then verifies",0.611,0.494,0.546,0.605,0.452,1.000,0/17304
WebSchema-JSONLD Bench-3452,3452,schemaplan_rag_deepseek,SchemaPlan-RAG (ours),,"full Step 1--7 pipeline with DeepSeek-V4-Flash for Steps 2, 4, and 6",0.950,0.924,0.937,0.922,0.658,1.000,16/20784
